,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
113,Guo et al CResearch,10.1038/s41422-018-0099-2,"Jingtao Guo, Edward J. Grow, Hana Mlcochova, Geoffrey J. Maher, Cecilia Lindskog, Xichen Nie, Yixuan Guo, Yodai Takei, Jina Yun, Long Cai, Robin Kim, Douglas T. Carrell, Anne Goriely, James M. Hotaling, Bradley R. Cairns",Cell Res,The adult human testis transcriptional cell atlas,20181012,-,6490.0,Human,Testis,Chromium,GSE120508,,RNA-seq,Testis,,,,13,Yes,Yes,Yes,No,Yes,,,Yes,3.0,2018-10-12,2018,10,12,2163.3333333333335
114,MacParland et al NCommunications,10.1038/s41467-018-06318-7,"Sonya A. MacParland, Jeff C. Liu, Xue-Zhong Ma, Brendan T. Innes, Agata M. Bartczak, Blair K. Gage, Justin Manuel, Nicholas Khuu, Juan Echeverri, Ivan Linares, Rahul Gupta, Michael L. Cheng, Lewis Y. Liu, Damra Camat, Sai W. Chung, Rebecca K. Seliga, Zigong Shao, Elizabeth Lee, Shinichiro Ogawa, Mina Ogawa, Michael D. Wilson, Jason E. Fish, Markus Selzner, Anand Ghanekar, David Grant, Paul Greig, Gonzalo Sapisochin, Nazia Selzner, Neil Winegarden, Oyedele Adeyi, Gordon Keller, Gary D. Bader, Ian D. McGilvray",Nat Commun,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,20181016,,8444.0,Human,Liver,Chromium,GSE115469,,RNA-seq,,,,,20,,,,,Yes,,,https://covid19.cog.sanger.ac.uk/lako_cornea.processed.h5ad,5.0,2018-10-16,2018,10,16,1688.8
115,Nomura et al NCommunications,10.1038/s41467-018-06639-7,"Seitaro Nomura, Masahiro Satoh, Takanori Fujita, Tomoaki Higo, Tomokazu Sumida, Toshiyuki Ko, Toshihiro Yamaguchi, Takashige Tobita, Atsuhiko T. Naito, Masamichi Ito, Kanna Fujita, Mutsuo Harada, Haruhiro Toko, Yoshio Kobayashi, Kaoru Ito, Eiki Takimoto, Hiroshi Akazawa, Hiroyuki Morita, Hiroyuki Aburatani, Issei Komuro",Nat Commun,Cardiomyocyte gene programs encoding morphological and functional signatures in cardiac hypertrophy and failure,20181019,-,1190.0,Human,Heart,Smart-seq2,GSE95140,,RNA-seq,Cardiomyocytes,,,,,,,,,,,,,10.0,2018-10-19,2018,10,19,119.0
116,Hagai et al Nature,10.1038/s41586-018-0657-2,"Tzachi Hagai, Xi Chen, Ricardo J. Miragaia, Raghd Rostom, Tomás Gomes, Natalia Kunowska, Johan Henriksson, Jong-Eun Park, Valentina Proserpio, Giacomo Donati, Lara Bossini-Castillo, Felipe A. Vieira Braga, Guy Naamati, James Fletcher, Emily Stephenson, Peter Vegh, Gosia Trynka, Ivanela Kondova, Mike Dennis, Muzlifah Haniffa, Armita Nourmohammad, Michael Lässig, Sarah A. Teichmann",Nature,Gene expression variability across cells and species shapes innate immunity,20181023,10.1101/137992,37553.0,"Human, Rhesus, Rat, Mouse, Rabbit, Pig",Skin,Chromium & Smart-seq2,E-MTAB-7052,,RNA-seq,Fibroblasts,,"Unstimulated vs LPS 2h, 4h, 6h.",,2,No,No,No,Yes,No,,,,2.0,2018-10-23,2018,10,23,18776.5
117,Cheng et al CReports,10.1016/j.celrep.2018.09.006,"Jeffrey B. Cheng, Andrew J. Sedgewick, Alex I. Finnegan, Paymann Harirchian, Jerry Lee, Sunjong Kwon, Marlys S. Fassett, Justin Golovato, Matthew Gray, Ruby Ghadially, Wilson Liao, Bethany E. Perez White, Theodora M. Mauro, Thaddeus Mully, Esther A. Kim, Hani Sbitany, Isaac M. Neuhaus, Roy C. Grekin, Siegrid S. Yu, Joe W. Gray, Elizabeth Purdom, Ralf Paus, Charles J. Vaske, Stephen C. Benz, Jun S. Song, Raymond J. Cho",Cell Reports,Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution,20181024,,92889.0,Human,Skin,Chromium,EGAS00001002927,,RNA-seq,"Epidermal cells from foreskin, trunk skalp",Psoriasis,Normal vs Inflamed,,11,Yes,Yes,No,Yes,Yes,,,,9.0,2018-10-24,2018,10,24,10321.0
118,Zhang et al Nature,10.1038/s41586-018-0694-x,"Lei Zhang, Xin Yu, Liangtao Zheng, Yuanyuan Zhang, Yansen Li, Qiao Fang, Ranran Gao, Boxi Kang, Qiming Zhang, Julie Y. Huang, Hiroyasu Konno, Xinyi Guo, Yingjiang Ye, Songyuan Gao, Shan Wang, Xueda Hu, Xianwen Ren, Zhanlong Shen, Wenjun Ouyang, Zemin Zhang",Nature,Lineage tracking reveals dynamic relationships of T cells in colorectal cancer,20181024,,11138.0,Human,"Colon, Rectum, Tumor",Smart-seq2,GSE108989,,RNA-seq,T cells,Colorectal cancer,TCR,,,,,,,,,,,12.0,2018-10-24,2018,10,24,928.1666666666666
119,Fu et al CResearch,10.1038/s41422-018-0103-x,"Gong-Bo Fu, Wei-Jian Huang, Min Zeng, Xu Zhou, Hong-Ping Wu, Chang-Cheng Liu, Han Wu, Jun Weng, Hong-Dan Zhang, Yong-Chao Cai, Charles Ashton, Min Ding, Dan Tang, Bao-Hua Zhang, Yi Gao, Wei-Feng Yu, Bo Zhai, Zhi-Ying He, Hong-Yang Wang, He-Xin Yan",Cell Res,Expansion and differentiation of human hepatocyte-derived liver progenitor-like cells and their use for the study of hepatotropic pathogens,20181025,-,7459.0,Human,Liver,Chromium,GSE116113,,RNA-seq,Hepatocytes,,,,4,Yes,No,No,Yes,Yes,,,,,2018-10-25,2018,10,25,
120,Povoleri et al NImmunology,10.1038/s41590-018-0230-z,"Giovanni A. M. Povoleri, Estefania Nova-Lamperti, Cristiano Scottà, Giorgia Fanelli, Yun-Ching Chen, Pablo D. Becker, Dominic Boardman, Benedetta Costantini, Marco Romano, Polychronis Pavlidis, Reuben McGregor, Eirini Pantazi, Daniel Chauss, Hong-Wei Sun, Han-Yu Shih, David J. Cousins, Nichola Cooper, Nick Powell, Claudia Kemper, Mehdi Pirooznia, Arian Laurence, Shahram Kordasti, Majid Kazemian, Giovanna Lombardi, Behdad Afzali",Nat Immunol,Human retinoic acid–regulated CD161+ regulatory T cells support wound repair in intestinal mucosa,20181025,,2974.0,Human,Blood,Chromium,GSE119373,,RNA-seq,CD4+CD25+ T cells,,,,,,,,,Yes,,,,3.0,2018-10-25,2018,10,25,991.3333333333334
121,Suryawanshi et al SAdvances,10.1126/sciadv.aau4788,"Hemant Suryawanshi, Pavel Morozov, Alexander Straus, Nicole Sahasrabudhe, Klaas E. A. Max, Aitor Garzia, Manjunath Kustagi, Thomas Tuschl, Zev Williams",Sci. Adv.,A single-cell survey of the human first-trimester placenta and decidua,20181031,,21095.0,Human,"Decidua, Placenta",Chromium & Drop-seq,PRJNA492324,,RNA-seq,,,,,,,,,,,,,,,2018-10-31,2018,10,31,
122,Jerby-Arnon et al cell,10.1016/j.cell.2018.09.006,"Livnat Jerby-Arnon, Parin Shah, Michael S. Cuoco, Christopher Rodman, Mei-Ju Su, Johannes C. Melms, Rachel Leeson, Abhay Kanodia, Shaolin Mei, Jia-Ren Lin, Shu Wang, Bokang Rabasha, David Liu, Gao Zhang, Claire Margolais, Orr Ashenberg, Patrick A. Ott, Elizabeth I. Buchbinder, Rizwan Haq, F. Stephen Hodi, Genevieve M. Boland, Ryan J. Sullivan, Dennie T. Frederick, Benchun Miao, Tabea Moll, Keith T. Flaherty, Meenhard Herlyn, Russell W. Jenkins, Rohit Thummalapalli, Monika S. Kowalczyk, Israel Cañadas, Bastian Schilling, Adam N.R. Cartwright, Adrienne M. Luoma, Shruti Malu, Patrick Hwu, Chantale Bernatchez, Marie-Andrée Forget, David A. Barbie, Alex K. Shalek, Itay Tirosh, Peter K. Sorger, Kai Wucherpfennig, Eliezer M. Van Allen, Dirk Schadendorf, Bruce E. Johnson, Asaf Rotem, Orit Rozenblatt-Rosen, Levi A. Garraway, Charles H. Yoon, Benjamin Izar, Aviv Regev",Cell,A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade,20181101,-,7187.0,Human,Tumor,Chromium & Smart-seq2,GSE115978,,RNA-seq,Melanoma tumor,,,,15,Yes,No,No,Yes,Yes,,,,31.0,2018-11-01,2018,11,1,231.83870967741936
123,Sade-Feldman et al Cell,10.1016/j.cell.2018.10.038,"Moshe Sade-Feldman, Keren Yizhak, Stacey L. Bjorgaard, John P. Ray, Carl G. de Boer, Russell W. Jenkins, David J. Lieb, Jonathan H. Chen, Dennie T. Frederick, Michal Barzily-Rokni, Samuel S. Freeman, Alexandre Reuben, Paul J. Hoover, Alexandra-Chloé Villani, Elena Ivanova, Andrew Portell, Patrick H. Lizotte, Amir R. Aref, Jean-Pierre Eliane, Marc R. Hammond, Hans Vitzthum, Shauna M. Blackmon, Bo Li, Vancheswaran Gopalakrishnan, Sangeetha M. Reddy, Zachary A. Cooper, Cloud P. Paweletz, David A. Barbie, Anat Stemmer-Rachamimov, Keith T. Flaherty, Jennifer A. Wargo, Genevieve M. Boland, Ryan J. Sullivan, Gad Getz, Nir Hacohen",Cell,Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma,20181101,-,16291.0,Human,,Smart-seq2,GSE120575,,RNA-seq,CD45 cells,,,,9,Yes,Yes,No,No,Yes,,,,32.0,2018-11-01,2018,11,1,509.09375
124,Uniken Venema et al Gastroenterology,10.1053/j.gastro.2018.10.046,"Werna T. Uniken Venema, Michiel D. Voskuil, Arnau Vich Vila, Gerben van der Vries, Bernadien H. Jansen, Bana Jabri, Klaas Nico Faber, Gerard Dijkstra, Ramnik J. Xavier, Cisca Wijmenga, Daniel B. Graham, Rinse K. Weersma, Eleonora A. Festen",Gastroenterology,Single-Cell RNA Sequencing of Blood and Ileal T Cells From Patients With Crohn's Disease Reveals Tissue-Specific Characteristics and Drug Targets,20181102,,5292.0,Human,"Blood, Colon",Smart-seq2,EGAD00010001649,,RNA-seq,CD3+ cells,Crohn's disease,,,,,,,,,,,,3.0,2018-11-02,2018,11,2,1764.0
125,Crinier et al Immunity,10.1016/j.immuni.2018.09.009,"Adeline Crinier, Pierre Milpied, Bertrand Escalière, Christelle Piperoglou, Justine Galluso, Anaïs Balsamo, Lionel Spinelli, Inaki Cervera-Marzal, Mikaël Ebbo, Mathilde Girard-Madoux, Sébastien Jaeger, Emilie Bollon, Sami Hamed, Jean Hardwigsen, Sophie Ugolini, Frédéric Vély, Emilie Narni-Mancinelli, Eric Vivier",Immunity,High-Dimensional Single-Cell Analysis Identifies Organ-Specific Signatures and Conserved NK Cell Subsets in Humans and Mice,20181106,,7000.0,"Mouse, Human","Blood, Spleen",Chromium,,,RNA-seq,NK cells,,,,,,,,,,,,,3.0,2018-11-06,2018,11,6,2333.3333333333335
126,Hermann et al CReports,10.1016/j.celrep.2018.10.026,"Brian P. Hermann, Keren Cheng, Anukriti Singh, Lorena Roa-De La Cruz, Kazadi N. Mutoji, I-Chung Chen, Heidi Gildersleeve, Jake D. Lehle, Max Mayo, Birgit Westernströer, Nathan C. Law, Melissa J. Oatley, Ellen K. Velte, Bryan A. Niedenberger, Danielle Fritze, Sherman Silber, Christopher B. Geyer, Jon M. Oatley, John R. McCarrey",Cell Reports,"The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids",20181106,-,62000.0,"Human, Mouse",Testis,Chromium & SMARTer (C1),GSE109037,,RNA-seq,Spermatogenic cells,,,,33,Yes,Yes,No,Yes,Yes,,,,30.0,2018-11-06,2018,11,6,2066.6666666666665
127,Vento-Tormo et al Nature,10.1038/s41586-018-0698-6,"Roser Vento-Tormo, Mirjana Efremova, Rachel A. Botting, Margherita Y. Turco, Miquel Vento-Tormo, Kerstin B. Meyer, Jong-Eun Park, Emily Stephenson, Krzysztof Polański, Angela Goncalves, Lucy Gardner, Staffan Holmqvist, Johan Henriksson, Angela Zou, Andrew M. Sharkey, Ben Millar, Barbara Innes, Laura Wood, Anna Wilbrey-Clark, Rebecca P. Payne, Martin A. Ivarsson, Steve Lisgo, Andrew Filby, David H. Rowitch, Judith N. Bulmer, Gavin J. Wright, Michael J. T. Stubbington, Muzlifah Haniffa, Ashley Moffett, Sarah A. Teichmann",Nature,Single-cell reconstruction of the early maternal–fetal interface in humans,20181108,-,70000.0,Human,"Blood, Decidua",Chromium & Smart-seq2,E-MTAB-6701,,RNA-seq,maternal-fetal interface,,Mother vs Fetus,,38,Yes,Yes,No,Yes,No,,,,11.0,2018-11-08,2018,11,8,6363.636363636364
128,Schmeidel et al Cell,10.1016/j.cell.2018.10.022,"Benjamin J. Schmiedel, Divya Singh, Ariel Madrigal, Alan G. Valdovino-Gonzalez, Brandie M. White, Jose Zapardiel-Gonzalo, Brendan Ha, Gokmen Altay, Jason A. Greenbaum, Graham McVicker, Grégory Seumois, Anjana Rao, Mitchell Kronenberg, Bjoern Peters, Pandurangan Vijayanand",Cell,Impact of Genetic Polymorphisms on Human Immune Cell Gene Expression,20181115,,1000000.0,Human,Blood,,phs001703.v4.p1,,RNA-seq,Activated CD4+ T cells,,Genetic data,,15,,,,,,,,,91.0,2018-11-15,2018,11,15,10989.010989010989
129,Shifrut et al Cell,10.1016/j.cell.2018.10.024,"Eric Shifrut, Julia Carnevale, Victoria Tobin, Theodore L. Roth, Jonathan M. Woo, Christina T. Bui, P. Jonathan Li, Morgan E. Diolaiti, Alan Ashworth, Alexander Marson",Cell,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,20181115,,,Human,Blood,CROP-seq,GSE119450,,RNA-seq,T cells,,,,,,,,,,,,,,2018-11-15,2018,11,15,
130,Sharma et al NCommunications,10.1038/s41467-018-07261-3,"Ankur Sharma, Elaine Yiqun Cao, Vibhor Kumar, Xiaoqian Zhang, Hui Sun Leong, Angeline Mei Lin Wong, Neeraja Ramakrishnan, Muhammad Hakimullah, Hui Min Vivian Teo, Fui Teen Chong, Shumei Chia, Matan Thangavelu Thangavelu, Xue Lin Kwang, Ruta Gupta, Jonathan R. Clark, Giridharan Periyasamy, N. Gopalakrishna Iyer, Ramanuj DasGupta",Nat Commun,Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy,20181116,,1302.0,Human,Tumor,SMARTer (C1),GSE117872 ,,RNA-seq,Oral cancer OSCC,,sensitive vs drug-resistent,,,,,,,,,,,,2018-11-16,2018,11,16,
131,Hinohara et al CCell,10.1016/j.ccell.2018.10.014,"Kunihiko Hinohara, Hua-Jun Wu, Sébastien Vigneau, Thomas O. McDonald, Kyomi J. Igarashi, Kimiyo N. Yamamoto, Thomas Madsen, Anne Fassl, Shawn B. Egri, Malvina Papanastasiou, Lina Ding, Guillermo Peluffo, Ofir Cohen, Stephen C. Kales, Madhu Lal-Nag, Ganesha Rai, David J. Maloney, Ajit Jadhav, Anton Simeonov, Nikhil Wagle, Myles Brown, Alexander Meissner, Piotr Sicinski, Jacob D. Jaffe, Rinath Jeselsohn, Alexander A. Gimelbrant, Franziska Michor, Kornelia Polyak",Cancer Cell,KDM5 Histone Demethylase Activity Links Cellular Transcriptomic Heterogeneity to Therapeutic Resistance,20181121,-,29954.0,Human,Breast,InDrops,GSE104987,,RNA-seq,Breast cancer,,,,,,No,No,No,Yes,,,,,2018-11-21,2018,11,21,
132,Oetjen et al JCIinsight,10.1172/jci.insight.124928,"Karolyn A. Oetjen, Katherine E. Lindblad, Meghali Goswami, Gege Gui, Pradeep K. Dagur, Catherine Lai, Laura W. Dillon, J. Philip McCoy, Christopher S. Hourigan",JCI Insight,"Human bone marrow assessment by single-cell RNA sequencing, mass cytometry, and flow cytometry",20181205,10.1101/416750,76000.0,Human,Bone marrow,Chromium,GSE120221,,RNA-seq,BMMCs,,,,20,,,,,,,,,20.0,2018-12-05,2018,12,5,3800.0
133,Zanini et al PNAS,10.1073/pnas.1813819115,"Fabio Zanini, Makeda L. Robinson, Derek Croote, Malaya Kumar Sahoo, Ana Maria Sanz, Eliana Ortiz-Lasso, Ludwig Luis Albornoz, Fernando Rosso, Jose G. Montoya, Leslie Goo, Benjamin A. Pinsky, Stephen R. Quake, Shirit Einav",Proc Natl Acad Sci USA,Virus-inclusive single-cell RNA sequencing reveals the molecular signature of progression to severe dengue,20181208,10.1101/388181,13127.0,Human,Blood,viscRNA-seq,GSE116672,,RNA-seq,PBMCs,Dengue,,,,,,,,,,,https://doi.org/10.6084/m9.figshare.7149134,10.0,2018-12-08,2018,12,8,1312.7
134,Krentz et al SCR,10.1016/j.stemcr.2018.11.008,"Nicole A.J. Krentz, Michelle Y.Y. Lee, Eric E. Xu, Shannon L.J. Sproul, Alexandra Maslova, Shugo Sasaki, Francis C. Lynn",Stem Cell Reports,Single-Cell Transcriptome Profiling of Mouse and hESC-Derived Pancreatic Progenitors,20181211,10.1101/289470,19520.0,"Human, Mouse","Pancreas, Culture",Chromium,GSE120522,,RNA-seq,Embryonic pancreas & endocrine pancreas,,,"E15.5, E18.5",,Yes,,Yes,,Yes,,,,,2018-12-11,2018,12,11,
135,Neal et al Cell,10.1016/j.cell.2018.11.021,"James T. Neal, Xingnan Li, Junjie Zhu, Valeria Giangarra, Caitlin L. Grzeskowiak, Jihang Ju, Iris H. Liu, Shin-Heng Chiou, Ameen A. Salahudeen, Amber R. Smith, Brian C. Deutsch, Lillian Liao, Allison J. Zemek, Fan Zhao, Kasper Karlsson, Liora M. Schultz, Thomas J. Metzner, Lincoln D. Nadauld, Yuen-Yi Tseng, Sahar Alkhairy, Coyin Oh, Paula Keskula, Daniel Mendoza-Villanueva, Francisco M. De La Vega, Pamela L. Kunz, Joseph C. Liao, John T. Leppert, John B. Sunwoo, Chiara Sabatti, Jesse S. Boehm, William C. Hahn, Grace X.Y. Zheng, Mark M. Davis, Calvin J. Kuo",Cell,Organoid Modeling of the Tumor Immune Microenvironment,20181213,,3800.0,Human,Blood,Chromium,GSE111360,,RNA-seq,PBMC,,,,,,,,,,,,,100.0,2018-12-13,2018,12,13,38.0
136,Croote et al Science,10.1126/science.aau2599,"Derek Croote, Spyros Darmanis, Kari C. Nadeau, Stephen R. Quake",Science,High-affinity allergen-specific human antibodies cloned from single IgE B cell transcriptomes,20181214,,973.0,Human,Blood,Smart-seq2,PRJNA472098,,RNA-seq,B cells isolated from PBMCs,,,,,,,,Yes,,,,,6.0,2018-12-14,2018,12,14,162.16666666666666
137,Li et al Science,10.1126/science.aat7615,"Mingfeng Li, Gabriel Santpere, Yuka Imamura Kawasawa, Oleg V. Evgrafov, Forrest O. Gulden, Sirisha Pochareddy, Susan M. Sunkin, Zhen Li, Yurae Shin, Ying Zhu, André M. M. Sousa, Donna M. Werling, Robert R. Kitchen, Hyo Jung Kang, Mihovil Pletikos, Jinmyung Choi, Sydney Muchnik, Xuming Xu, Daifeng Wang, Belen Lorente-Galdos, Shuang Liu, Paola Giusti-Rodríguez, Hyejung Won, Christiaan A. de Leeuw, Antonio F. Pardiñas, Ming Hu, Fulai Jin, Yun Li, Michael J. Owen, Michael C. O’Donovan, James T. R. Walters, Danielle Posthuma, Mark A. Reimers, Pat Levitt, Daniel R. Weinberger, Thomas M. Hyde, Joel E. Kleinman, Daniel H. Geschwind, Michael J. Hawrylycz, Matthew W. State, Stephan J. Sanders, Patrick F. Sullivan, Mark B. Gerstein, Ed S. Lein, James A. Knowles, Nenad Sestan, A. Jeremy Willsey, Aaron Oldre, Aaron Szafer, Adrian Camarena, Adriana Cherskov, Alexander W. Charney, Alexej Abyzov, Alexey Kozlenkov, Alexias Safi, Allan R. Jones, Allison E. Ashley-Koch, Amanda Ebbert, Amanda J. Price, Amanda Sekijima, Amira Kefi, Amy Bernard, Anahita Amiri, Andrea Sboner, Andrew Clark, Andrew E. Jaffe, Andrew T. N. Tebbenkamp, Andy J. Sodt, Angie L. Guillozet-Bongaarts, Angus C. Nairn, Anita Carey, Anita Huttner, Ann Chervenak, Anna Szekely, Annie W. Shieh, Arif Harmanci, Barbara K. Lipska, Becky C. Carlyle, Ben W. Gregor, Bibi S. Kassim, Brooke Sheppard, Candace Bichsel, Chang-Gyu Hahn, Chang-Kyu Lee, Chao Chen, Chihchau L. Kuan, Chinh Dang, Chris Lau, Christine Cuhaciyan, Christoper Armoskus, Christopher E. Mason, Chunyu Liu, Cliff R. Slaughterbeck, Crissa Bennet, Dalila Pinto, Damon Polioudakis, Daniel Franjic, Daniel J. Miller, Darren Bertagnolli, David A. Lewis, David Feng, David Sandman, Declan Clarke, Derric Williams, Diane DelValle, Dominic Fitzgerald, Elaine H. Shen, Elie Flatow, Elizabeth Zharovsky, Emily E. Burke, Eric Olson, Erich Fulfs, Eugenio Mattei, Evi Hadjimichael, Ewa Deelman, Fabio C. P. Navarro, Feinan Wu, Felix Lee, Feng Cheng, Fernando S. Goes, Flora M. Vaccarino, Fuchen Liu, Gabriel E. Hoffman, Gamze Gürsoy, Garrett Gee, Gaurang Mehta, Gianfilippo Coppola, Gina Giase, Goran Sedmak, Graham D. Johnson, Gregory A. Wray, Gregory E. Crawford, Guangyu Gu, Harm van Bakel, Heather Witt, Hee Jae Yoon, Henry Pratt, Hongyu Zhao, Ian A. Glass, Jack Huey, James Arnold, James P. Noonan, Jaroslav Bendl, Jayson M. Jochim, Jeff Goldy, Jennifer Herstein, Jennifer R. Wiseman, Jeremy A. Miller, Jessica Mariani, Jessica Stoll, Jill Moore, Jin Szatkiewicz, Jing Leng, Jing Zhang, Jody Parente, Joel Rozowsky, John F. Fullard, John G. Hohmann, John Morris, John W. Phillips, Jonathan Warrell, Joo Heon Shin, Joon-Yong An, Judson Belmont, Julie Nyhus, Julie Pendergraft, Julien Bryois, Katie Roll, Kay S. Grennan, Kaylynn Aiona, Kevin P. White, Kimberly A. Aldinger, Kimberly A. Smith, Kiran Girdhar, Kristina Brouner, Lara M. Mangravite, Leanne Brown, Leonardo Collado-Torres, Lijun Cheng, Lindsey Gourley, Lingyun Song, Luis De La Torre Ubieta, Lukas Habegger, Lydia Ng, Mads E. Hauberg, Marco Onorati, Maree J. Webster, Marija Kundakovic, Mario Skarica, Mark Reimers, Matthew B. Johnson, Maxine M. Chen, Melanie E. Garrett, Melanie Sarreal, Melissa Reding, Mengting Gu, Mette A. Peters, Michael Fisher, Michael J. Gandal, Michael Purcaro, Michael Smith, Miguel Brown, Mikihito Shibata, Mimi Brown, Min Xu, Mo Yang, Mohana Ray, Nadiya V. Shapovalova, Nancy Francoeur, Nathan Sjoquist, Naveed Mastan, Navjot Kaur, Neelroop Parikshak, Nerick F. Mosqueda, Nhan-Kiet Ngo, Nick Dee, Nikolay A. Ivanov, Olivia Devillers, Panos Roussos, Patrick D. Parker, Paul Manser, Paul Wohnoutka, Peggy J. Farnham, Peter Zandi, Prashant S. Emani, Rachel A. Dalley, Rajiv Mayani, Ran Tao, Reaghan Gittin, Richard E. Straub, Richard P. Lifton, Rivka Jacobov, Robert E. Howard, Royce B. Park, Rujia Dai, Sandra Abramowicz, Schahram Akbarian, Shannon Schreiner, Shaojie Ma, Sheana E. Parry, Sheila Shapouri, Sherman Weissman, Shiella Caldejon, Shrikant Mane, Song-Lin Ding, Soraya Scuderi, Stella Dracheva, Stephanie Butler, Steven N. Lisgo, Suhn Kyong Rhie, Susan Lindsay, Suvro Datta, Tade Souaiaia, Tanmoy Roychowdhury, Teresa Gomez, Theresa Naluai-Cecchini, Thomas G. Beach, Thomas Goodman, Tianliuyun Gao, Tim A. Dolbeare, Tim Fliss, Timothy E. Reddy, Ting Chen, Tom M. Hyde, Tonya Brunetti, Tracy A. Lemon, Tsega Desta, Tyler Borrman, Vahram Haroutunian, Valeria N. Spitsyna, Vivek Swarup, Xu Shi, Yan Jiang, Yan Xia, Yang-Ho Chen, Yi Jiang, Yongjun Wang, Yooree Chae, Yucheng T. Yang, Yunjung Kim, Zack L. Riley, Zeljka Krsnik, Zemin Deng, Zhiping Weng, Zhixiang Lin, Zhuo Li, BrainSpan Consortium, PsychENCODE Consortium, PsychENCODE Developmental Subgroup",Science,Integrative functional genomic analysis of human brain development and neuropsychiatric risks,20181214,,18288.0,Human,Brain,,,,RNA-seq,"Frontoparietal wall, frontoparietal plate and subplate",,,"PCW5, PCW6, PCW8, PCW17, PCW18, PCW19, PCW20",,,,,,,,,,12.0,2018-12-14,2018,12,14,1524.0
138,Schlenner at al ARD,10.1136/annrheumdis-2018-213764,"Susan Schlenner, Emanuela Pasciuto, Vasiliki Lagou, Oliver Burton, Teresa Prezzemolo, Steffie Junius, Carlos P Roca, Cyril Seillet, Cynthia Louis, James Dooley, Kylie Luong, Erika Van Nieuwenhove, Ian P Wicks, Gabrielle Belz, Stéphanie Humblet-Baron, Carine Wouters, Adrian Liston",Ann Rheum Dis,NFIL3 mutations alter immune homeostasis and sensitise for arthritis pathology,20181214,,6908.0,Human,Blood,Chromium,,,RNA-seq,PBMCs,Juvenile idiopathic arthritis,,,14,,,,,,,,,2.0,2018-12-14,2018,12,14,3454.0
139,Reyfman et al AJRCCM,10.1164/rccm.201712-2410OC,"Paul A. Reyfman, James M. Walter, Nikita Joshi, Kishore R. Anekalla, Alexandra C. McQuattie-Pimentel, Stephen Chiu, Ramiro Fernandez, Mahzad Akbarpour, Ching-I Chen, Ziyou Ren, Rohan Verma, Hiam Abdala-Valencia, Kiwon Nam, Monica Chi, SeungHye Han, Francisco J. Gonzalez-Gonzalez, Saul Soberanes, Satoshi Watanabe, Kinola J. N. Williams, Annette S. Flozak, Trevor T. Nicholson, Vince K. Morgan, Deborah R. Winter, Monique Hinchcliff, Cara L. Hrusch, Robert D. Guzy, Catherine A. Bonham, Anne I. Sperling, Remzi Bag, Robert B. Hamanaka, Gökhan M. Mutlu, Anjana V. Yeldandi, Stacy A. Marshall, Ali Shilatifard, Luis A. N. Amaral, Harris Perlman, Jacob I. Sznajder, A. Christine Argento, Colin T. Gillespie, Jane Dematte, Manu Jain, Benjamin D. Singer, Karen M. Ridge, Anna P. Lam, Ankit Bharat, Sangeeta M. Bhorade, Cara J. Gottardi, G. R. Scott Budinger, Alexander V. Misharin",Am J Respir Crit Care Med,Single-Cell Transcriptomic Analysis of Human Lung Provides Insights into the Pathobiology of Pulmonary Fibrosis,20181215,,76070.0,Human,Lung,Chromium,GSE122960,,RNA-seq,,Pulmonary fibrosis,Healthy vs PF,,,,,,,,,,,16.0,2018-12-15,2018,12,15,4754.375
140,Brockmann et al NCommunications,10.1038/s41467-018-07581-4,"Leonie Brockmann, Shiwa Soukou, Babett Steglich, Paulo Czarnewski, Lilan Zhao, Sandra Wende, Tanja Bedke, Can Ergen, Carolin Manthey, Theodora Agalioti, Maria Geffken, Oliver Seiz, Sara M. Parigi, Chiara Sorini, Jens Geginat, Keishi Fujio, Thomas Jacobs, Thomas Roesch, Jacob R. Izbicki, Ansgar W. Lohse, Richard A. Flavell, Christian Krebs, Jan-Ake Gustafsson, Per Antonson, Maria Grazia Roncarolo, Eduardo J. Villablanca, Nicola Gagliani, Samuel Huber",Nat Commun,Molecular and functional heterogeneity of IL-10-producing CD4+ T cells,20181218,-,7125.0,"Human, Mouse","Blood, Spleen, Small intestine",Chromium & Smart-seq2,GSE121393,,RNA-seq,CD4 T cells,,,,7,Yes,No,No,No,Yes,,,,3.0,2018-12-18,2018,12,18,2375.0
