,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
585,Zilionis et al Immunity,10.1016/j.immuni.2019.03.009,7,,"Single-cell RNA sequencing data were analyzed from seven human non-small-cell lung cancer patients in this study. 

Source sentence: ""We set out to deﬁne TIM cell sub-populations in human NSCLCand in a mouse lung adenocarcinoma (LA) model and to establish similarities and discrepancies between the two organisms ( Fig- ure 1 A)...We ﬁrst obtained fresh tumor tissue from seven human patients undergoing resection of one of two NSCLC types: LA (ﬁve out of seven) and squamous cell carcinoma (SCC) (two out of seven).""","Mouse, Human","56,301",Tumor,Tumor,3,TCR,,"Rapolas Zilionis, Camilla Engblom, Christina Pfirschke, Virginia Savova, David Zemmour, Hatice D. Saatcioglu, Indira Krishnan, Giorgia Maroni, Claire V. Meyerovitz, Clara M. Kerwin, Sun Choi, William G. Richards, Assunta De Rienzo, Daniel G. Tenen, Raphael Bueno, Elena Levantini, Mikael J. Pittet, Allon M. Klein",Immunity,Single-Cell Transcriptomics of Human and Mouse Lung Cancers Reveals Conserved Myeloid Populations across Individuals and Species,09/04/2019,-,InDrops,GSE127465,,RNA-seq,Tumor infiltrating myeloid cells,,,8,,,,,No,,,,10.1016/j.immuni.2019.03.009,1,Zilionis et al Immunity,1,7
586,Yue et al ACell,10.1111/acel.12952,,,,Mouse,"20,159",,,,,,"Sibiao Yue, Xiaobin Zheng, Yixian Zheng",Aging Cell,Cell‐type‐specific role of lamin‐B1 in thymus development and its inflammation‐driven reduction in thymus aging,20190410,10.1101/448837,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1111/acel.12952,1,Yue et al ACell,1,
587,Tikhonova et al Nature,10.1038/s41586-019-1104-8,,,,Mouse,"20,097",Bone marrow,,,,,"Anastasia N. Tikhonova, Igor Dolgalev, Hai Hu, Kishor K. Sivaraj, Edlira Hoxha, Álvaro Cuesta-Domínguez, Sandra Pinho, Ilseyar Akhmetzyanova, Jie Gao, Matthew Witkowski, Maria Guillamot, Michael C. Gutkin, Yutong Zhang, Christian Marier, Catherine Diefenbach, Stavroula Kousteni, Adriana Heguy, Hua Zhong, David R. Fooksman, Jason M. Butler, Aris Economides, Paul S. Frenette, Ralf H. Adams, Rahul Satija, Aristotelis Tsirigos, Iannis Aifantis",Nature,The bone marrow microenvironment at single-cell resolution,20190410,-,Chromium,GSE108892,,RNA-seq,Bone marrow,,,11,Yes,,,,Yes,,,,10.1038/s41586-019-1104-8,1,Tikhonova et al Nature,1,
588,Weng et al CSC,10.1016/j.stem.2019.03.006,,,,Mouse,"6,792",Brain,,,,,"Qinjie Weng, Jincheng Wang, Jiajia Wang, Danyang He, Zuolin Cheng, Feng Zhang, Ravinder Verma, Lingli Xu, Xinran Dong, Yunfei Liao, Xuelian He, Andrew Potter, Liguo Zhang, Chuntao Zhao, Mei Xin, Qian Zhou, Bruce J. Aronow, Perry J. Blackshear, Jeremy N. Rich, Qiaojun He, Wenhao Zhou, Mario L. Suvà, Ronald R. Waclaw, S. Steven Potter, Guoqiang Yu, Q. Richard Lu",Cell Stem Cell,Single-Cell Transcriptomics Uncovers Glial Progenitor Diversity and Cell Fate Determinants during Development and Gliomagenesis,20190411,,Chromium & SMARTer (C1),GSE117154,,RNA-seq,"Neonatal cortex, Oligodendrocyte progenitors and astrocyte lineages (GFAP)",,"P1, P3, P5, P6",,,,,,,,,,10.1016/j.stem.2019.03.006,1,Weng et al CSC,1,
589,Fidanza et al bioRxiv,10.1101/602565,,,,Human,"11,420",Culture,,,,,"Antonella Fidanza, Nicola Romanò, Prakash Ramachandran, Sara Tamagno, Martha Lopez-Yrigoyen, Alice Helen Taylor, Jennifer Easterbrook, Beth Henderson, Richard Axton, Neil Cowan Henderson, Alexander Medvinsky, Katrin Ottersbach, Lesley Margaret Forrester LM",bioRxiv,Single cell transcriptome analysis reveals markers of naïve and lineage-primed hematopoietic progenitors derived from human pluripotent stem cells,20190412,10.1101/602565,Chromium,,,RNA-seq,hiPSC HSCs,,,9,Yes,,,,Yes,,,,10.1101/602565,1,Fidanza et al bioRxiv,1,
590,Makino et al SReports,10.1038/s41598-019-42578-z,,,,Mouse,175,,,,,,"Yoshinori Makino, Niels H. Jensen, Naoko Yokota, Moritz J. Rossner, Haruhiko Akiyama, Katsuhiko Shirahige, Yuki Okada",Sci Rep,Single cell RNA-sequencing identified Dec2 as a suppressive factor for spermatogonial differentiation by inhibiting Sohlh1 expression,20190415,-,SMARTer (C1),PRJNA524391,,RNA-seq,Neonatal germ cells,,,6,Yes,Yes,,,Yes,,,,10.1038/s41598-019-42578-z,1,Makino et al SReports,1,
591,Ernst et al NCommunications,10.1038/s41467-019-09182-1,,,,Mouse,"53,510",Testis,,,,,"Christina Ernst, Nils Eling, Celia P. Martinez-Jimenez, John C. Marioni, Duncan T. Odom",Nat Commun,Staged developmental mapping and X chromosome transcriptional dynamics during mouse spermatogenesis,20190415,10.1101/350868,Chromium,,,RNA-seq,Developing spearmatids,,"P5, P10, P15, P20, P25, P30, P35, Adult",23,Yes,Yes,,,Yes,,,,10.1038/s41467-019-09182-1,1,Ernst et al NCommunications,1,
592,Sarkar et al PLoSGenetics,10.1371/journal.pgen.1008045,,,,Human,"5,447",Culture,,,,,"Abhishek K. Sarkar, Po-Yuan Tung, John D. Blischak, Jonathan E. Burnett, Yang I. Li, Matthew Stephens, Yoav Gilad",PLoS Genet,Discovery and characterization of variance QTLs in human induced pluripotent stem cells,20190419,10.1101/424192,STRT-seq (C1),,,RNA-seq,iPSCs,,,,,,,,,,,,10.1371/journal.pgen.1008045,1,Sarkar et al PLoSGenetics,1,
593,Tseng et al ACER,10.1111/acer.14066,,,,Mouse,"13,770",Culture,,,,,"Alexander M. Tseng, Dae D. Chung, Marisa R. Pinson, Nihal A. Salem, Sarah E. Eaves, Rajesh C. Miranda",Alcohol Clin Exp Re,Ethanol Exposure Increases miR‐140 in Extracellular Vesicles: Implications for Fetal Neural Stem Cell Proliferation and Maturation,20190422,-,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1111/acer.14066,1,Tseng et al ACER,1,
594,Mimitou et al NMethods,10.1038/s41592-019-0392-0,2,"For comparison between the healthy donor and CTCL data, both Seurat objects were merged and depth-normalized when performing cell alignment (or batch normalization) using RunCCA with a default parameter of 30 canonical vectors","The study analyzed single-cell RNA sequencing data from one healthy donor and one Cutaneous T Cell Lymphoma patient. 

Source sentence: ""We next constructed a 49 marker panel of ECCITE-seq antibodies to deeply profile PBMCs  from a healthy donor and a Cutaneous T Cell Lymphoma (CTCL) patient.""","Mouse, Human","13,534",Blood,Blood,1,,,"Eleni P. Mimitou, Anthony Cheng, Antonino Montalbano, Stephanie Hao, Marlon Stoeckius, Mateusz Legut, Timothy Roush, Alberto Herrera, Efthymia Papalexi, Zhengqing Ouyang, Rahul Satija, Neville E. Sanjana, Sergei B. Koralov, Peter Smibert",Nat Methods,"Multiplexed detection of proteins, transcriptomes, clonotypes and CRISPR perturbations in single cells",22/04/2019,-,ECCITE-seq,GSE126310,,RNA-seq,PBMC,,,,Yes,No,No,No,Yes,,,,10.1038/s41592-019-0392-0,1,Mimitou et al NMethods,1,
595,Cosacak et al CReports,10.1016/j.celrep.2019.03.090,,,,Zebrafish,"1,796",,,,,,"Mehmet Ilyas Cosacak, Prabesh Bhattarai, Susanne Reinhardt, Andreas Petzold, Andreas Dahl, Yixin Zhang, Caghan Kizil",Cell Reports,Single-Cell Transcriptomics Analyses of Neural Stem Cell Heterogeneity and Contextual Plasticity in a Zebrafish Brain Model of Amyloid Toxicity,20190423,-,Chromium,GSE118577,,RNA-seq,,,,13,,,,,,,,,10.1016/j.celrep.2019.03.090,1,Cosacak et al CReports,1,
596,Sala Frigerio et al CReports,10.1016/j.celrep.2019.03.099,,,,Mouse,"12,024",Brain,,,,,"Carlo Sala Frigerio, Leen Wolfs, Nicola Fattorelli, Nicola Thrupp, Iryna Voytyuk, Inga Schmidt, Renzo Mancuso, Wei-Ting Chen, Maya E. Woodbury, Gyan Srivastava, Thomas Möller, Eloise Hudry, Sudeshna Das, Takaomi Saido, Eric Karran, Bradley Hyman, V. Hugh Perry, Mark Fiers, Bart De Strooper",Cell Reports,"The Major Risk Factors for Alzheimer’s Disease: Age, Sex, and Genes Modulate the Microglia Response to Aβ Plaques",20190423,-,Smart-seq2,GSE127893,,RNA-seq,Microglia,,,6,Yes,Yes,,,Yes,,,,10.1016/j.celrep.2019.03.099,1,Sala Frigerio et al CReports,1,
597,Serra et al Nature,10.1038/s41586-019-1146-y,,,,Mouse,"23,421",Culture,,,,,"Denise Serra, Urs Mayr, Andrea Boni, Ilya Lukonin, Markus Rempfler, Ludivine Challet Meylan, Michael B. Stadler, Petr Strnad, Panagiotis Papasaikas, Dario Vischi, Annick Waldt, Guglielmo Roma, Prisca Liberali",Nature,Self-organization and symmetry breaking in intestinal organoid development,20190424,-,Chromium,GSE115956,,RNA-seq,Intestinal organoids,,,,No,Yes,No,Yes,Yes,,,,10.1038/s41586-019-1146-y,1,Serra et al Nature,1,
598,Ayyaz et al Nature,10.1038/s41586-019-1154-y,,,,Mouse,"15,354",Intestine,,,,,"Arshad Ayyaz, Sandeep Kumar, Bruno Sangiorgi, Bibaswan Ghoshal, Jessica Gosio, Shaida Ouladan, Mardi Fink, Seda Barutcu, Daniel Trcka, Jess Shen, Kin Chan, Jeffrey L. Wrana, Alex Gregorieff",Nature,Single-cell transcriptomes of the regenerating intestine reveal a revival stem cell,20190424,-,Chromium & Smart-seq2,GSE123516,,RNA-seq,Intestine,,,19,Yes,Yes,No,,Yes,,,,10.1038/s41586-019-1154-y,1,Ayyaz et al Nature,1,
599,Li et al EHJ,10.1093/eurheartj/ehz305,,,,Mouse,"28,598",,,,,,"Ziwen Li, Emmanouil G Solomonidis, Marco Meloni, Richard S Taylor, Rodger Duffin, Ross Dobie, Marlene S Magalhaes, Beth E P Henderson, Pieter A Louwe, Gabriela D’Amico, Kairbaan M Hodivala-Dilke, Ajay M Shah, Nicholas L Mills, Benjamin D Simons, Gillian A Gray, Neil C Henderson, Andrew H Baker, Mairi Brittan",European Heart Journal,Single-cell transcriptome analyses reveal novel targets modulating cardiac neovascularization by resident endothelial cells following myocardial infarction,20190425,-,Chromium,,,RNA-seq,,,,10,,,,,,,,,10.1093/eurheartj/ehz305,1,Li et al EHJ,1,
600,Zhong et al bioRxiv,10.1101/617555,3," In human, 20009 single cells from three post-mortem donors were divided into 18 distinct clusters, including well-known retinal cells and novel rod cells subpopulations","The study did single-cell RNA sequencing analysis for donors(n=6) who had a clinical diagnosis of T2D and were undergoing bariatric surgery. 

Source sentence: ""We performed single-cell RNA sequencing on the visceral and subcutaneous adipose tissue of six individuals with T2D undergoing bariatric surgery.""",Human,"57,832",Eye,Visual system,3,,,"Jixing Zhong, Dongsheng Chen, Fangyuan Hu, Fang Chen, Zaoxu Xu, Jian Fang, Jianjiang Xu, Shiyou Wang, Langchao Liang, Chaochao Chai, Xiangning Ding, Jiacheng Zhu, Peiwen Ding, Jun Xia, Sanjie Jiang, Wei Li, Ya Gao, Jianguo Zhang, Jiankang Li, Ping Xu, Fengjuan Gao, Dandan Wang, Daowei Zhang, Jie Huang, Shoufang Qu, Shenghai Zhang, Jihong Wu, Xinghuai Sun",bioRxiv,Single cell RNA-seq reveals cellular diversity and developmental characteristics of human infant retina,25/04/2019,10.1101/617555,Chromium,,,RNA-seq,Infant retina,,,20,,,,,,,,,10.1101/617555,1,Zhong et al bioRxiv,1,
601,Merrick et al Science,10.1126/science.aav2501,,,,"Mouse, Human","22,761",,,,,Number of individuals is not clear,"David Merrick, Alexander Sakers, Zhazira Irgebay, Chihiro Okada, Catherine Calvert, Michael P. Morley, Ivona Percec, Patrick Seale",Science,Identification of a mesenchymal progenitor cell hierarchy in adipose tissue,26/04/2019,-,Chromium,GSE128889,,RNA-seq,Adipose cells,,,10,Yes,,,,Yes,,,,10.1126/science.aav2501,1,Merrick et al Science,1,
602,Vladoiu et al Nature,10.1038/s41586-019-1158-7,,,,Mouse,"60,000",Brain,,,,,"Maria C. Vladoiu, Ibrahim El-Hamamy, Laura K. Donovan, Hamza Farooq, Borja L. Holgado, Yogi Sundaravadanam, Vijay Ramaswamy, Liam D. Hendrikse, Sachin Kumar, Stephen C. Mack, John J. Y. Lee, Vernon Fong, Kyle Juraschka, David Przelicki, Antony Michealraj, Patryk Skowron, Betty Luu, Hiromichi Suzuki, A. Sorana Morrissy, Florence M. G. Cavalli, Livia Garzia, Craig Daniels, Xiaochong Wu, Maleeha A. Qazi, Sheila K. Singh, Jennifer A. Chan, Marco A. Marra, David Malkin, Peter Dirks, Lawrence Heisler, Trevor Pugh, Karen Ng, Faiyaz Notta, Eric M. Thompson, Claudia L. Kleinman, Alexandra L. Joyner, Nada Jabado, Lincoln Stein, Michael D. Taylor",Nature,Childhood cerebellar tumours mirror conserved fetal transcriptional programs,20190501,,Chromium,GSE118068,,RNA-seq,Mesial cerebellum and hindbrain,,"E10, E12, E14, E16, E18, P0, P5, P7, P14",,,,,,,,,,10.1038/s41586-019-1158-7,1,Vladoiu et al Nature,1,
603,Mathys et al Nature,10.1038/s41586-019-1195-2,48,"Here, we analysed 80,660 single-nucleus transcriptomes from the prefrontal cortex of 48 individuals with varying degrees of Alzheimer’s disease pathology","Single-cell RNA sequencing data from 48 individuals were analyzed in this study. 

Source sentence: ""With the goal of characterizing the complex cellular changes in AD brain pathology, here we  provide the first single-cell view of AD pathology, profiling 80,660 droplet-based single- nucleus cortical transcriptomes across 48 individuals with varying degrees of AD pathology,  and across both sexes.""",Human,"80,660",Brain,Brain,3,48 individuals with Alzheimer's disease pathology,,"Hansruedi Mathys, Jose Davila-Velderrain, Zhuyu Peng, Fan Gao, Shahin Mohammadi, Jennie Z. Young, Madhvi Menon, Liang He, Fatema Abdurrob, Xueqiao Jiang, Anthony J. Martorell, Richard M. Ransohoff, Brian P. Hafler, David A. Bennett, Manolis Kellis, Li-Huei Tsai",Nature,Single-cell transcriptomic analysis of Alzheimer’s disease,01/05/2019,-,Chromium,10.7303/syn18485175,,RNA-seq,"Prefrontal cortex, Microglia",,Aged,18,Yes,No,No,Yes,Yes,,,,10.1038/s41586-019-1195-2,1,Mathys et al Nature,1,48
604,Russel et al JVirology,10.1128/jvi.00500-19,,,,Human,"1,614",,,,,Using data from cell lines,"Alistair B. Russell, Elizaveta Elshina, Jacob R. Kowalsky, Aartjan J. W. te Velthuis, Jesse D. Bloom",J Virol,Single-Cell Virus Sequencing of Influenza Infections That Trigger Innate Immunity,03/05/2019,10.1101/437277,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1128/jvi.00500-19,1,Russel et al JVirology,1,
605,Voigt et al EER,10.1016/j.exer.2019.05.001,3,"In this study, we performed single-cell RNA sequencing on neural retina isolated from both the fovea and peripheral retina in three human donors",,Human,"8,217",Retina,Visual system,3,Foveal vs Peripheral retina,,"A.P. Voigt, S.S. Whitmore, M.J. Flamme-Wiese, M.J. Riker, L.A. Wiley, B.A. Tucker, E.M. Stone, R.F. Mullins, T.E. Scheetz",Experimental Eye Research,Molecular characterization of foveal versus peripheral human retina by single-cell RNA sequencing,08/05/2019,,Chromium,GSE130636,,RNA-seq,Retina,,,,,,,,,,,,10.1016/j.exer.2019.05.001,1,Voigt et al EER,1,
606,Pfefferle et al bioRxiv,10.1101/630657,2,"The Palantir algorithm calculates the probability of each individual cell to end up in each of the inferred terminal states, whereby only one terminal state was identified in both donors","Single-cell RNA sequencing was performed on cells derived from 20 sorted phenotypically-defined human NK cell subsets, but the total number of donors from which the cells were obtained is not specified in the given sentence.",Human,"26,506",Blood,Blood,1,,,"Aline Pfefferle, Herman Netskar, Eivind Heggernes Ask, Susanne Lorenz, Jodie P. Goodridge, Ebba Sohlberg, Trevor Clancy, Karl-Johan Malmberg",bioRxiv,A Temporal Transcriptional Map of Human Natural Killer Cell Differentiation,08/05/2019,10.1101/630657,,,,RNA-seq,,,,,,,,,,,,,10.1101/630657,1,Pfefferle et al bioRxiv,1,
607,Kuo et al STM,10.1126/scitranslmed.aau8587,10,"To define the spectrum of macrophage phenotypes in a human tissue affected by autoimmunity, we sorted CD14+ cells from the synovial tissue of 10 patients with RA and applied single-cell RNA sequencing (scRNA-seq, CEL-Seq2), as previously reported (22).","Single-cell RNA sequencing data was analyzed for CD14+ synovial tissue cells from 10 patients with rheumatoid arthritis (RA) and synovial tissue cells from 5 patients with RA using a droplet-based scRNA-seq platform. This information can be found in the source sentence ""Using single-cell RNA sequencing, we defined distinct macrophage subsets in the joints of patients with the autoimmune disease rheumatoid arthritis (RA), which affects ~1% of the population."" and ""In an independent study using a droplet-based scRNA-seq platform (Drop-seq) applied to synovial tissues from five patients with RA (fig.""",Human,940,Synovial tissue,Musculoskeletal system,2,RA vs OA,,"David Kuo, Jennifer Ding, Ian S. Cohn, Fan Zhang, Kevin Wei, Deepak A. Rao, Cristina Rozo, Upneet K. Sokhi, Sara Shanaj, David J. Oliver, Adriana P. Echeverria, Edward F. DiCarlo, Michael B. Brenner, Vivian P. Bykerk, Susan M. Goodman, Soumya Raychaudhuri, Gunnar Rätsch, Lionel B. Ivashkiv, Laura T. Donlin",Sci. Transl. Med.,HBEGF+ macrophages in rheumatoid arthritis induce fibroblast invasiveness,09/05/2019,-,CEL-seq2,SDY998,,RNA-seq,CD14+ synovial cells,"Osteoarthritis, Rheumatoid arthritis",,4,Yes,No,No,Yes,Yes,,,,10.1126/scitranslmed.aau8587,1,Kuo et al STM,1,
608,Veres et al Nature,10.1038/s41586-019-1168-5,,,,Human,"141,813",Culture,,,,,"Adrian Veres, Aubrey L. Faust, Henry L. Bushnell, Elise N. Engquist, Jennifer Hyoje-Ryu Kenty, George Harb, Yeh-Chuin Poh, Elad Sintov, Mads Gürtler, Felicia W. Pagliuca, Quinn P. Peterson, Douglas A. Melton",Nature,Charting cellular identity during human in vitro β-cell differentiation,20190509,-,InDrops,GSE114412,,RNA-seq,beta cell differentiation,,,,,Yes,No,Yes,Yes,,,,10.1038/s41586-019-1168-5,1,Veres et al Nature,1,
609,Zhang et al CReports,10.1016/j.celrep.2019.04.052,9,"Here, we performed a scRNA-seq survey of 56,440 cells from 13 gastric antral mucosa biopsies from 9 patients with non-atrophic gastritis (NAG), CAG, IM, or early gastric cancer (EGC), and constructed a single-cell transcriptome atlas for gastric premalignant and early-malignant lesions","Single-cell RNA sequencing data was analyzed from multiple donors in this study, including pediatric, adult, and aged postmortem male and female pituitaries. However, the exact number of donors is not specified in the highlighted sentence.",Human,"32,332",Stomach,Digestive system,3,,,"Peng Zhang, Mingran Yang, Yiding Zhang, Shuai Xiao, Xinxing Lai, Aidi Tan, Shiyu Du, Shao Li",Cell Reports,Dissecting the Single-Cell Transcriptome Network Underlying Gastric Premalignant Lesions and Early Gastric Cancer,09/05/2019,,Chromium,GSE134520,,RNA-seq,,"Non-atrophic gastritis, Chronic atrophic gastritis, Intestinal metaplasia, Early gastric cancer",,,,,,,,,,,10.1016/j.celrep.2019.04.052,1,Zhang et al CReports,1,
610,Tran et al Cell Reports,10.1016/j.celrep.2019.04.056,,,,Mouse,"1,379",Culture,,,,,"Khoa A. Tran, Stefan J. Pietrzak, Nur Zafirah Zaidan, Alireza Fotuhi Siahpirani, Sunnie Grace McCalla, Amber S. Zhou, Gopal Iyer, Sushmita Roy, Rupa Sridharan",Cell Reports,Defining Reprogramming Checkpoints from Single-Cell Analyses of Induced Pluripotency,20190509,,ddSEQ,GSE108222,,RNA-seq,MEF to iPSC reprogramming,,,,,Yes,No,Yes,Yes,,,,10.1016/j.celrep.2019.04.056,1,Tran et al Cell Reports,1,
611,Van Hove et al NNeuroscience,10.1038/s41593-019-0393-4,,,,Mouse,"61,000",Brain,,,,,"Hannah Van Hove, Liesbet Martens, Isabelle Scheyltjens, Karen De Vlaminck, Ana Rita Pombo Antunes, Sofie De Prijck, Niels Vandamme, Sebastiaan De Schepper, Gert Van Isterdael, Charlotte L. Scott, Jeroen Aerts, Geert Berx, Guy E. Boeckxstaens, Roosmarijn E. Vandenbroucke, Lars Vereecke, Diederik Moechars, Martin Guilliams, Jo A. Van Ginderachter, Yvan Saeys, Kiavash Movahedi",Nat Neurosci,A single-cell atlas of mouse brain macrophages reveals unique transcriptional identities shaped by ontogeny and tissue environment,20190509,-,Chromium,GSE128855,,RNA-seq,"Immunce cells from choroid plexus, dura matter, subdural meninges, or whole brain",,Adult,19,Yes,Yes,No,Yes,Yes,,,,10.1038/s41593-019-0393-4,1,Van Hove et al NNeuroscience,1,
612,Zhang et al NImmunology,10.1038/s41590-019-0378-1,51,,"Single-cell RNA sequencing data were analyzed for 21 donors in this study. (Source: ""Identified 18 scRNA-seqclusters, source of 24 plates, and source of 21 donors using the CCA-based integrative pipeline."")",Human,"5,265",Synovial tissue,Musculoskeletal system,2,,,"Fan Zhang, Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus (AMP RA/SLE) Consortium, Kevin Wei, Kamil Slowikowski, Chamith Y. Fonseka, Deepak A. Rao, Stephen Kelly, Susan M. Goodman, Darren Tabechian, Laura B. Hughes, Karen Salomon-Escoto, Gerald F. M. Watts, A. Helena Jonsson, Javier Rangel-Moreno, Nida Meednu, Cristina Rozo, William Apruzzese, Thomas M. Eisenhaure, David J. Lieb, David L. Boyle, Arthur M. Mandelin, Brendan F. Boyce, Edward DiCarlo, Ellen M. Gravallese, Peter K. Gregersen, Larry Moreland, Gary S. Firestein, Nir Hacohen, Chad Nusbaum, James A. Lederer, Harris Perlman, Costantino Pitzalis, Andrew Filer, V. Michael Holers, Vivian P. Bykerk, Laura T. Donlin, Jennifer H. Anolik, Michael B. Brenner, Soumya Raychaudhuri",Nat Immunol,Defining inflammatory cell states in rheumatoid arthritis joint synovial tissues by integrating single-cell transcriptomics and mass cytometry,09/05/2019,10.1101/351130,CEL-seq2,SDY998,,RNA-seq,"21 sorted cell populations: Fibroblasts, Monocytes, T cells, B cells.","Rheumatoid arthritis, Osteoarthritis",,18,Yes,No,No,Yes,Yes,https://storage.googleapis.com/h5ad/10.1038-s41590-019-0378-1/SYD998.h5ad,,SDY998,10.1038/s41590-019-0378-1,1,Zhang et al NImmunology,1,51
613,Telley et al Science,10.1126/science.aav2522,,,,Mouse,"2,756",Brain,,,,,"L. Telley, G. Agirman, J. Prados, N. Amberg, S. Fièvre, P. Oberst, G. Bartolini, I. Vitali, C. Cadilhac, S. Hippenmeyer, L. Nguyen, A. Dayer, D. Jabaudon",Science,Temporal patterning of apical progenitors and their daughter neurons in the developing neocortex,20190510,10.1101/409458,SMARTer (C1),GSE118953,,RNA-seq,Neocortex,,E12 - E15,,,,,,,,,,10.1126/science.aav2522,1,Telley et al Science,1,
614,Moreno-Villanueva et al IJMS,10.3390/ijms20092316,1,Both of the samples reached a sequencing saturation over 80% a representation of high sequencing depth,"The single-cell RNA sequencing data was analyzed for one donor in this study. Source sentence: ""Cells and Radiation Exposure Primary human T cells were isolated from source leukocyte samples that were obtained from the Gulf Coast Regional Blood Center, Houston, Texas. 2019 ,20, 2316 12 of 17 cells (PBMCs) from one 500 mL blood donation were separated by density-gradient centrifugation on Ficoll gradients (GE Healthcare, Life Sciences, Piscataway, NJ, USA), followed by red blood cell (RBC) lysis""",Human,"1,423",Blood,Blood,1,Irradiated vs Control,,"Maria Moreno-Villanueva, Ye Zhang, Alan Feiveson, Brandon Mistretta, Yinghong Pan, Sujash Chatterjee, Winston Wu, Ryan Clanton, Mayra Nelman-Gonzalez, Stephanie Krieger, Preethi Gunaratne, Brian Crucian, Honglu Wu",IJMS,Single-Cell RNA-Sequencing Identifies Activation of TP53 and STAT1 Pathways in Human T Lymphocyte Subpopulations in Response to Ex Vivo Radiation Exposure,13/05/2019,-,Chromium,,,RNA-seq,T cells,,,3,Yes,No,No,Yes,Yes,,,,10.3390/ijms20092316,1,Moreno-Villanueva et al IJMS,1,
615,McCracken et al EHJ,10.1093/eurheartj/ehz351,,,,Human,"105,727",Culture,,,,,"Ian R McCracken, Richard S Taylor, Fatma O Kok, Fernando de la Cuesta, Ross Dobie, Beth E P Henderson, Joanne C Mountford, Axelle Caudrillier, Neil C Henderson, Chris P Ponting, Andrew H Baker",European Heart Journal,Transcriptional dynamics of pluripotent stem cell-derived endothelial cell differentiation revealed by single-cell RNA sequencing,20190514,-,Chromium,GSE131736,,RNA-seq,pluripotent stem cell derived endothelial cells,,,,,,Yes,,,,,,10.1093/eurheartj/ehz351,1,McCracken et al EHJ,1,
616,Shulse et al CReports,10.1016/j.celrep.2019.04.054,,,,Arabidopsis,"12,000",Root,,,,,"Christine N. Shulse, Benjamin J. Cole, Doina Ciobanu, Junyan Lin, Yuko Yoshinaga, Mona Gouran, Gina M. Turco, Yiwen Zhu, Ronan C. O’Malley, Siobhan M. Brady, Diane E. Dickel",Cell Reports,High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types,20190514,,Drop-seq,GSE122687,,RNA-seq,,,,,,,,,,,,,10.1016/j.celrep.2019.04.054,1,Shulse et al CReports,1,
617,Cheng et al NCommunications,10.1038/s41467-019-10122-2,21,High cell-capture efficiency and contamination removal capability of Hydro-Seq enables successful scRNA-seq of 666 CTCs from 21 breast cancer patient samples at high throughput,Single-cell RNA sequencing data were analyzed in this study for 21 patients with metastatic breast cancer.,Human,666,"Blood, Culture, Tumor",Blood,1,,,"Yu-Heng Cheng, Yu-Chih Chen, Eric Lin, Riley Brien, Seungwon Jung, Yu-Ting Chen, Woncheol Lee, Zhijian Hao, Saswat Sahoo, Hyun Min Kang, Jason Cong, Monika Burness, Sunitha Nagrath, Max S. Wicha, Euisik Yoon",Nat Commun,Hydro-Seq enables contamination-free high-throughput single-cell RNA-sequencing for circulating tumor cells,15/05/2019,-,Hydro-Seq,PRJNA471754,,RNA-seq,"CTCs, MDA-MB-231, HEK293, 3T3",,,2,Yes,,,,Yes,,,,10.1038/s41467-019-10122-2,1,Cheng et al NCommunications,1,
618,Gaiti et al Nature,10.1038/s41586-019-1198-z,35,,Single-cell RNA sequencing data was analyzed for 6 healthy donors and 12 primary IGHV mutated and unmutated CLLs in this study.,Human,843,Blood,Blood,1,,,"Federico Gaiti, Ronan Chaligne, Hongcang Gu, Ryan M. Brand, Steven Kothen-Hill, Rafael C. Schulman, Kirill Grigorev, Davide Risso, Kyu-Tae Kim, Alessandro Pastore, Kevin Y. Huang, Alicia Alonso, Caroline Sheridan, Nathaniel D. Omans, Evan Biederstedt, Kendell Clement, Lili Wang, Joshua A. Felsenfeld, Erica B. Bhavsar, Martin J. Aryee, John N. Allan, Richard Furman, Andreas Gnirke, Catherine J. Wu, Alexander Meissner, Dan A. Landau",Nature,Epigenetic evolution and lineage histories of chronic lymphocytic leukaemia,15/05/2019,-,Smart-seq2 & scRRBS,GSE109085,,RNA-seq,chronic lymphocytic leukemia,,,,,,,,,,,,10.1038/s41586-019-1198-z,1,Gaiti et al Nature,1,35
